,Model,Correlation,Condition
0,NCN,0.45163727686875577,Bootstraping
1,NCN,0.5660102590776845,Bootstraping
2,NCN,0.6827576537584136,Bootstraping
3,NCN,0.5439684924741985,Bootstraping
4,NCN,0.6685325180827799,Bootstraping
5,NCN,0.5974812069874154,Bootstraping
6,NCN,0.3993097018271412,Bootstraping
7,NCN,0.3778416801149487,Bootstraping
8,NCN,0.5978422851203194,Bootstraping
9,NCN,0.7024554367868492,Bootstraping
10,NCN,0.7035021962226075,Bootstraping
11,NCN,0.44090656148184804,Bootstraping
12,NCN,0.692872222750865,Bootstraping
13,NCN,0.5250943050970887,Bootstraping
14,NCN,0.47925907713463756,Bootstraping
15,NCN,0.508741307674088,Bootstraping
16,NCN,0.5783302890843627,Bootstraping
17,NCN,0.5323580884765916,Bootstraping
18,NCN,0.5470702697717241,Bootstraping
19,NCN,0.6201669493964672,Bootstraping
20,NCN,0.5927805237056538,Bootstraping
21,NCN,0.6359436913175378,Bootstraping
22,NCN,0.5583733051112427,Bootstraping
23,NCN,0.5822881891477708,Bootstraping
24,NCN,0.6854734114392014,Bootstraping
25,NCN,0.5750751632364522,Bootstraping
26,NCN,0.5613925155745747,Bootstraping
27,NCN,0.6196236311794442,Bootstraping
28,NCN,0.5463108528021954,Bootstraping
29,NCN,0.556235347597952,Bootstraping
30,NCN,0.496456773780394,Bootstraping
31,NCN,0.4017700252099372,Bootstraping
32,NCN,0.6446632488835488,Bootstraping
33,NCN,0.3572652779958372,Bootstraping
34,NCN,0.6800742390441716,Bootstraping
35,NCN,0.5788337752859012,Bootstraping
36,NCN,0.6762822454126781,Bootstraping
37,NCN,0.574946647927956,Bootstraping
38,NCN,0.5399451589950688,Bootstraping
39,NCN,0.4986056392784517,Bootstraping
40,NCN,0.44120499638753397,Bootstraping
41,NCN,0.500807504534263,Bootstraping
42,NCN,0.4053865653870935,Bootstraping
43,NCN,0.5281016807594213,Bootstraping
44,NCN,0.5066424141924779,Bootstraping
45,NCN,0.5553458970750065,Bootstraping
46,NCN,0.8030173329875199,Bootstraping
47,NCN,0.6477899045090855,Bootstraping
48,NCN,0.6753274598811126,Bootstraping
49,NCN,0.6094111751207931,Bootstraping
50,NCN,0.7125904836901741,Bootstraping
51,NCN,0.5631278953550858,Bootstraping
52,NCN,0.3461448204658826,Bootstraping
53,NCN,0.573331329772027,Bootstraping
54,NCN,0.5826765643532981,Bootstraping
55,NCN,0.40187006395968994,Bootstraping
56,NCN,0.6140551445777966,Bootstraping
57,NCN,0.44380792128873225,Bootstraping
58,NCN,0.5207010736328995,Bootstraping
59,NCN,0.4417259490458805,Bootstraping
60,NCN,0.4657235910991109,Bootstraping
61,NCN,0.4034998245990916,Bootstraping
62,NCN,0.4798437839547963,Bootstraping
63,NCN,0.5806266954413714,Bootstraping
64,NCN,0.562625221952569,Bootstraping
65,NCN,0.5452779633488909,Bootstraping
66,NCN,0.4730450168165168,Bootstraping
67,NCN,0.3756339601048436,Bootstraping
